Reg Num,Name,Address,Status,Phone,Broker
1,MOORE HEMSWORTH - LISTOWELL,"136, WALLACE AVENUE NORTH, BOX 8, LISTOWELL, ONTARIO, CANADA, N4W 3H2",Corporation,,"MOORE, DAVID ERNEST"
1037,"""THE INSURANCE MARKET"" INSURANCE BROKERS LTD","1935, SILICONE DRIVE, PICKERING, ONTARIO, CANADA, L1W 3V7",Corporation,+1(905)686-0701,"JACKSON, MARK ANTHONY DOAN"
1,1. KRAUSE EDWARDS INTERNATION,"595, CITYVIEW BLVD., UNIT 15, VAUGHAN, ONTARIO, CANADA, L4H 3M7",Corporation,,"PATERSON, ALAN DONALD"
1,"10 SUNRAY ST, STE 22","18, CROWN STEEL DR, 210, MARKHAM, ONTARIO, CANADA, L3R 9X8",Wholesaler / MGA,905-444-9900,"WOODALL, WILLIAM MARK"
1,168 MACBETH CRESCENT,"168, MACBETH CRESCENT, NORTH BAY, ONTARIO, CANADA, P1B 7X6",Corporation,,"RAYMOND, GREG A."
1,20/20 INSURANCE WELLAND,"703, FAST MAIN STREET, WELLAND, ONTARIO, CANADA,",Corporation,,"CERCA, KAREN LEE"
2195,21ST CENTURY TRAVEL INSURANCE LTD / MEDICARE INTERNATIONAL,"1040, DIVISION STREET, UNIT 18, COBOURG, ONTARIO, CANADA, K9A 5Y5",Corporation,+1(905)372-1779,"WILSON, HARVEY ROBERT"
1,3177 QUEEN FREDERICA DRIVE,"380, LENEL CRT, MISSISSAUGA, ONTARIO, CANADA, L5A 1R9",Corporation,+1(647)291-2254,"QUENNEVILLE, CHARLES ALBERT"
1,40 WELLINGTON ST SOUTH,"40, WELLINGTON ST SOUTH, WOODSTOCK, ONTARIO, CANADA, N4S 3H3",Corporation,,"LA CROIX, SCOTT RANDALL"
1,4360 AGAR DR,"4360, AGAR DR, RICHMOND, BRITISH COLUMBIA, CANADA, V7B 1A3",Corporation,604-276-2428,"SHANTZ, ROBERT BRADLEY"
1,5805 BLUE LAGOON DR,"5805 BLUE LAGOON DR, STE 310, MIAMI, FLORIDA, CANADA, 33126",Corporation,,"LEE, JOHN JOSEPH"
177,A BERTHELOT INS BKS - BLIND RIVER O/B 705846 ONTARIO INC.,"16, WOODWARD AVENUE, P.O. BOX 160, BLIND RIVER, ONTARIO, CANADA, P0R 1B0",Corporation,+1(705)356-7631,"BERTHELOT, RICHARD MARC"
1065,A.E. JEFFREYS INSURANCE BROKERAGE HOUSE INC.,"3077, MAINWAY DRIVE, BURLINGTON, ONTARIO, CANADA, L7M 1A1",Corporation,+1(877)338-2252,"JEFFREYS, JANICE"
4123,A.P. REID INSURANCE LIMITED,"3390, SOUTH SERVICE RD, SUITE #201, BURLINGTON, ONTARIO, CANADA, L7N 3J5",Corporation,+()905-689-6608,"REID, JAMES PATRICK"
3215,A.T.S. INSURANCE GROUP INC.,"346, NEWKIRK ROAD, UNIT #7, RICHMOND HILL, ONTARIO, CANADA, L4C 0A9",Corporation,+1(905)883-9602,"MELLOW, KAREN PATRICIA"
3210,A10K INC.,"439, UNIVERSITY AVE, 539, TORONTO, ONTARIO, CANADA, M5G 1Y8",Corporation,+1(416)596-2432,"MORISON, FREDERICK BRIAN"
3521,AAA SUN INSURANCE BROKERS CANADA INC.,"25, WATLINE AVENUE, SUITE GR 03, MISSISSAUGA, ONTARIO, CANADA, L4Z 2Z1",Corporation,+1(905)501-2765,"MCGREGOR, RAY"
1,AAXEL INS. BRAMPTON,"45, BRAMALEA ROAD, SUITE 202, BRAMPTON, ONTARIO, CANADA, L6T 2W4",Corporation,,"MANN, PRITPAL SINGH ""PAUL"""
1,ABLE INSURANCE- BRAMPTON,"20, MARITIME ONTARIO BLVD., BRAMPTON, ONTARIO, CANADA, L6S 0E7",Corporation,905-799-9942,"PURJE, EERIK"
1,ABORIGINAL INSURANCE-OHSWEKEN,"2176, CHIEFSWOOD ROAD, OHSWEKEN, ONTARIO, CANADA, N0A 1M0",Corporation,855-282-6991,"SHERWIN, RANDY"
1,ACCENT INSURANCE- LASALLE,"7703, BOUL NEWMAN, 200, LASALLE, QUEBEC, CANADA, H8N 1X7",Corporation,514-363-3636,"HARMAN, EDWARD STANLEY"
1688,ACTIVE INSURANCE & FINANCIAL GROUP INC.,"897, KIPLING AVENUE, TORONTO, ONTARIO, CANADA, M8Z 5H3",Corporation,+1(416)675-9888,"PALAZZESE, DAVID ALEC"
1,ACUMEN INS - MISSISSAUGA #1,"2065, DUNDAS STREET EAST, STE 107, MISSISSAUGA, ONTARIO, CANADA, L4X 2W1",Corporation,905-282-0900,"BAGAZZOLI, SAL"
106,ACUMEN INSURANCE GROUP INC.,"835, PARAMOUNT DRIVE, SUITE #301, STONEY CREEK, ONTARIO, CANADA, L8J 0B4",Corporation,+1(905)574-7000,"BAGAZZOLI, SAL"
1,ADRIATIC INSURANCE BROKERS LTD,"62, GERMAINE AVENUE , , TORONTO, ONTARIO, CANAD",Corporation,416-486-6714,"BOWDEN, DONALD MORRIS"
3716,ADVOCIS BROKER SERVICES INC. (ABS),"10, LOWER SPADINA AVENUE, SUITE #700, TORONTO, ONTARIO, CANADA, M5V 2Z2",Corporation,+1(416)444-8456,"MCGLYNN, RANDOLPH BRENT"
1,AFN-KANATA,"97, SHELDRAKE ROAD , , KANATA, ONTARIO, CANADA,",Corporation,613-831-6958,"BURHOE, ROBERT CLAYTON"
1,AGR INSURANCE-GATINEAU,"540, BOUL DE L’HOPITAL, GATINEAU, QUEBEC, CANADA, J8V 3T2",Corporation,819-243-1234,"ROBINSON, DIANE L."
3012,AIM INSURANCE BROKERS LTD.,"244, DUNLOP ST. W., BARRIE, ONTARIO, CANADA, L4N 1B6",Corporation,+1(705)737-5620,"CLARKE, DOUGLAS DAMON"
1,AKAL INS - MISSISSAUGA,"1200, DERRY ROAD E., UNIT #10, MISSISSAUGA, ONTARIO, CANADA, L5T 0B3",Corporation,905-459-2525,"DHALIWAL, HARBIR BOBBY"
614,AL DORMAN INSURANCE BROKERS LTD,"19150, CENTRE STREET, UNIT 1, MOUNT ALBERT, ONTARIO, CANADA, L0G 1M0",Corporation,+1(905)473-2942,"ARMSTRONG, CURTIS ALAN"
11,ALL-RISKS- BRAMPTON,"180, B SANDALWOOD PARKWAY EAST, UNIT #3003, BRAMPTON, ONTARIO, CANADA, L6Z 4N2",Corporation,905-497-2164,"No Principal Broker,"
18,ALL-RISKS- CAMBRIDGE,"401, FOUNTAIN N ST, CAMBRIDGE, ONTARIO, CANADA, N3H 1H7",Corporation,519-621-3000,"No Principal Broker,"
